,Entretien
54,AJUSTER - BEARING ARRIÈRE,REMPLACER - RÉCEPTEUR (BOOSTER)
55,REMPLACER - DISQUES ARRIÈRE
56,AJUSTER - BRACKET,NETTOYER / LAVER - BEARING ARRIÈRE
57,REMPLACER - FEUX ARRIÈRE (BOÎTIER)
58,RÉPARER - RÉSERVOIR À LAVE-VITRE
59,INSTALLER - CAPTEUR DE ROUE,AJUSTER - CAPTEUR DE ROUE
60,RECHERCHER PANNE (DIAGNOSTIQUE) - CLIGNOTANT
61,AJUSTER - PARE-BRISE
62,RÉPARER - BOYAUX,REMPLACER - POMPE À INJECTION,NETTOYER / LAVER - RÉSERVOIR
63,RÉPARER - BOYAUX
64,INSPECTER VISUELLEMENT - PNEU ARRIÈRE
65,RÉPARER - ESSUIE-GLACE,MODIFIER - ESSUIE-GLACE
66,REMPLACER - AIR DRYER
67,REMPLACER - DISQUES ARRIÈRE
68,INSTALLER - DISQUES AVANT
69,REMPLACER - DISQUES ARRIÈRE
70,AJUSTER - BEARING ARRIÈRE
71,REMPLACER - AIR DRYER
72,REMPLACER - BOYAUX
73,INSPECTER VISUELLEMENT - ESSUIE-GLACE
74,REMPLACER - DISQUES ARRIÈRE
75,INSPECTER VISUELLEMENT - CARROSSERIE GÉNÉRALE,INSPECTER VISUELLEMENT - VÉRIN HYDRAULIQUE DE CAMION
76,REMPLACER - LUMIÈRE DE ROUTE
77,ESTIMER - BOÎTIER
78,REMPLACER - ÉCHELLE (SUPPORT)
79,REMPLACER - TUYAUTERIE
80,REMPLACER - BEARING AVANT
81,INSPECTER VISUELLEMENT - COMPRESSEUR
82,REMPLACER - RÉSERVOIR DE CARBURANT
83,REMPLACER - FILTRE À HUILE
84,SURVOLTER - BATTERIE DU VÉHICULE,SURVOLTER - BATTERIE AUXILIAIRE
85,REMPLACER - BOBINE D'ALLUMAGE,REMPLACER - BOUGIE
86,SURVOLTER - BATTERIE DU VÉHICULE,SURVOLTER - BATTERIE AUXILIAIRE
87,RECHERCHER PANNE (DIAGNOSTIQUE) - BOYAUX
88,REMPLACER - INTAKE
89,REMPLACER - AIR DRYER
90,INSPECTER VISUELLEMENT - COURROIE MOTEUR
91,RECHERCHER PANNE (DIAGNOSTIQUE) - VÉRIN HYDRAULIQUE DE CAMION
92,REMPLACER - AIR DRYER
93,REMPLACER - FEUX ARRIÈRE (BOÎTIER)
94,REMPLACER - CYLINDRE DE SUPPORT À ÉCHELLE
95,REMPLACER - DISQUES ARRIÈRE
96,REMPLACER - AIR DRYER
97,REMPLACER - BARRE STABILISATRICE
98,REMPLACER - SEAL DE CRANK AVANT,REMPLACER - PANNE À L'HUILE
99,RÉPARER - CAPTEUR DE CAME (CAM SENSOR)
100,VÉRIFIER - LEVIER DE FREIN À MAIN
101,REMPLACER - SABOTS ARRIÈRE
102,INSPECTER VISUELLEMENT - RÉSERVOIR
103,AJUSTER - RÉSERVOIR,REMPLACER - HUILE DES BEARINGS AVANT
104,LUBRIFIER/GRAISSER - BEARING ARRIÈRE
105,REMPLACER - RESSORT DE SABOT,REMPLACER - TAMBOURS ARRIÈRE,REMPLACER - SABOTS ARRIÈRE,REMPLACER - CYLINDRE DE FREINS
106,REMPLACER - LUMIÈRE DE LICENSE,RÉPARER - CONNECTEUR (SOCKET)
107,REMPLACER - PLAQUETTES AVANT,REMPLACER - DISQUES AVANT
108,VÉRIFIER - BATTERIE DU VÉHICULE
109,REMPLACER - LUMIÈRE DE LICENSE
110,PURGER - POMPE À ESSENCE,REMPLACER - RADIO COM
111,REMPLACER - PNEU AVANT
112,ESSAI  ROUTIER - SUPPORT D'ÉCHAPPEMENT,RECHERCHER PANNE (DIAGNOSTIQUE) - SUPPORT D'ÉCHAPPEMENT,REPOSITIONNER - SUPPORT D'ÉCHAPPEMENT
113,RECHERCHER PANNE (DIAGNOSTIQUE) - CAPTEUR AIR BAG,REMPLACER - CAPTEUR AIR BAG
114,NETTOYER / LAVER - GASKET
115,REMPLACER - SABOTS ARRIÈRE
116,NA - RADIATEUR DU VÉHICULE,NA - RADIATEUR DU VÉHICULE,RECHERCHER PANNE (DIAGNOSTIQUE) - RADIATEUR DU VÉHICULE
117,REPOSITIONNER - ANTENNE
118,REMPLACER - LUMIÈRE DE LECTURE
119,REMPLACER - DISQUES AVANT,REMPLACER - PLAQUETTES AVANT
120,REMPLACER - PLAQUETTES ARRIÈRE
121,LUBRIFIER/GRAISSER - GOUPILLE (PIN)
122,REMPLACER - BATTERIE DU VÉHICULE
123,REMPLACER - FILTRE À AIR
124,REMPLACER - ALTERNATEUR AUXILIAIRE (SAVANA),RECHERCHER PANNE (DIAGNOSTIQUE) - ALTERNATEUR AUXILIAIRE (SAVANA)
125,LUBRIFIER/GRAISSER - TABLE DE SUSPENSION AVANT
126,REMPLACER - BATTERIE AUXILIAIRE
127,VÉRIFIER - VENTILATEUR DE CHAUFFERETTE
128,REMPLACER - HUILE DE TRANSMISSION
129,REMPLACER - FEUX D'ARRÊT
130,REMPLACER - ESSIEU,REMPLACER - JOINT D'ESSIEU
131,VÉRIFIER - POMPE À ESSENCE
132,REMPLACER - TURBO DROIT
133,REMPLACER - PLAQUETTES ARRIÈRE,REMPLACER - DISQUES ARRIÈRE
134,RÉPARER - TÊTE DE CONTRÔLE/ THERMOSTAT,MODIFIER - IMPRIMANTE
135,REPROGRAMMER - CONVERTISSEUR DE COURANT,RECHERCHER PANNE (DIAGNOSTIQUE) - CONVERTISSEUR DE COURANT
136,VÉRIFIER - THERMOSTAT
137,REMPLACER - AIR DRYER
138,VÉRIFIER - BATTERIE AUXILIAIRE
139,REMPLACER - PANNE À L'HUILE
140,SURVOLTER - BATTERIE DU VÉHICULE,AJUSTER - ESSUIE-GLACE,VÉRIFIER - MANIVELLE DE VITRES,AJUSTER - ESSUIE-GLACE
141,VÉRIFIER - CONTRÔLE,RÉPARER - ESSUIE-GLACE
142,AJUSTER - COLLET
143,RÉPARER - LUMIÈRE DE SCÈNE
144,AJUSTER - CEINTURE DE SÉCURITÉ,SURVOLTER - BATTERIE DU VÉHICULE,ESSAI  ROUTIER - ANTENNE
145,SURVOLTER - BATTERIE DU VÉHICULE
146,SURVOLTER - BATTERIE DU VÉHICULE
147,REPOSITIONNER - STABILISATEUR
148,REMPLACER - BACK PLATE
149,RÉPARER - AILE
150,RÉPARER - CARROSSERIE GÉNÉRALE,REMPLACER - PARECHOC
151,RÉPARER - CARROSSERIE GÉNÉRALE
152,RÉPARER - MODULE ABS,RECHERCHER PANNE (DIAGNOSTIQUE) - MODULE ABS
153,REMPLACER - AVERTISSEUR DE RECUL (BACKUP ALARM)
154,ESTIMER - CARROSSERIE GÉNÉRALE
155,REMPLACER - CARROSSERIE GÉNÉRALE
156,RECHERCHER PANNE (DIAGNOSTIQUE) - DÉMARREUR,REMPLACER - DÉMARREUR,VÉRIFIER - BATTERIE DU VÉHICULE,VÉRIFIER - ALTERNATEUR
157,INSPECTER VISUELLEMENT - CARROSSERIE GÉNÉRALE
158,REMPLACER - PARECHOC
159,ESTIMER - CARROSSERIE GÉNÉRALE
160,RÉPARER - PARECHOC
161,MODIFIER - FINITION INTÉRIEUR
162,RECHERCHER PANNE (DIAGNOSTIQUE) - TÊTE DE CONTRÔLE/ THERMOSTAT,REPROGRAMMER - TÊTE DE CONTRÔLE/ THERMOSTAT
163,REMPLACER - UNITÉ COMPLÈTE
164,RÉPARER - CARROSSERIE GÉNÉRALE
165,REMPLACER - TOIT,REMPLACER - CARROSSERIE GÉNÉRALE
166,REMPLACER - PARECHOC
167,FABRIQUER - TABLE/TABLETTE
168,REMPLACER - COLLET
169,REMPLACER - SEAL DE PIGNON
170,INSTALLER - SUPPORT
171,REMPLACER - GOUPILLE (PIN)
172,REMPLACER - JOINT UNIVERSEL DE COLONNE
173,REMPLACER - CONTRÔLE
174,VÉRIFIER - CÂBLES DE FREINS À MAINS
175,REMPLACER - RELAIS
176,REMPLACER - PORTE
177,REMPLACER - ESCABOT (SUPPORT)
178,FABRIQUER - TOILE DE BENNE
179,REMPLACER - COMPRESSEUR
180,INSTALLER - PNEU ARRIÈRE
181,INSTALLER - PNEU AVANT,INSTALLER - PNEU ARRIÈRE
182,REMPLACER - CARROSSERIE GÉNÉRALE
183,INSTALLER - PNEU AVANT
184,INSTALLER - PNEU AVANT,INSTALLER - PNEU ARRIÈRE
185,INSTALLER - PNEU AVANT
186,REMPLACER - COURROIE ALTERNATEUR,REMPLACER - VENTILATEUR
187,RÉPARER - VALVE DE COMPENSATION
188,REMPLACER - VITRE
189,NETTOYER / LAVER - LEVIER DE FREIN À MAIN
190,REMPLACER - AIR DRYER,LUBRIFIER/GRAISSER - PLANCHER,RÉPARER - COFFRE,AJUSTER - BATTERIE DU VÉHICULE
191,REMPLACER - PORTE
192,REMPLACER - BOUTON,VÉRIFIER - PNEU ARRIÈRE
193,REMPLACER - INJECTEUR
194,REMPLACER - BATTERIE DU VÉHICULE,REMPLACER - INTAKE
195,RÉPARER - TUYAUTERIE
196,REMPLACER - RADIATEUR DU VÉHICULE
197,RÉPARER - SYSTÈME DE CAMÉRA DE RECUL
198,REMPLACER - BRAS DE RENVOI
199,ESTIMER - CARROSSERIE GÉNÉRALE
200,REMPLACER - CARROSSERIE GÉNÉRALE
201,AJUSTER - VOLANT
202,AJUSTER - VOLANT
203,AJUSTER - VOLANT
204,AJUSTER - VOLANT
205,AJUSTER - VOLANT
206,AJUSTER - VOLANT
207,AJUSTER - VOLANT
208,RÉPARER - TOIT
209,REMPLACER - CARROSSERIE GÉNÉRALE,RÉPARER - FINITION INTÉRIEUR,RÉPARER - COFFRE
210,AJUSTER - SOUPAPE
211,RÉPARER - PORTE
212,REMPLACER - AXE DE FUSÉE (KING PIN),REMPLACER - SEAL DE PIGNON
213,REMPLACER - CAPTEUR ABS
214,PEINTURER - PLANCHER
215,FABRIQUER - FIXATION
216,FABRIQUER - FEUX ARRIÈRE (BOÎTIER)
217,INSTALLER - CAMÉRA DE RECUL
218,FABRIQUER - CAMÉRA DE RECUL
219,INSTALLER - CAMÉRA DE RECUL
220,FABRIQUER - FEUX ARRIÈRE (BOÎTIER)
221,RÉPARER - MARCHE PIED ARRIÈRE,INSTALLER - GARNITURE
222,INSTALLER - RAIL D'ARRIMAGE
223,MODIFIER - FINITION INTÉRIEUR
224,VÉRIFIER - FILAGE ÉLECTRIQUE,VÉRIFIER - UNITÉ COMPLÈTE,AJUSTER - BEARING AVANT,INSTALLER - COLLET
225,VÉRIFIER - SUPPORT,VÉRIFIER - CONVERTISSEUR DE COURANT,AJUSTER - CYLINDRE DE LEVAGE,REMPLACER - TUYAUTERIE
226,REMPLACER - POIGNÉE
227,INSTALLER - PROTECTEUR EN CAOUTCHOUC (BORDURE)
228,REMPLACER - BOUCHE D'AÉRATION (TRAP)
229,REMPLACER - LEVIER DE VITESSE
230,MODIFIER - FINITION INTÉRIEUR
231,REMPLACER - BOYAUX
232,RÉPARER - FILAGE ÉLECTRIQUE,NETTOYER / LAVER - PORTE
233,REMPLACER - GYROPHARE,RÉPARER - ATTELAGE REMORQUE,AJUSTER - RÉGLEUR (SLACK ADJUSTER),REMPLACER - PNEU ARRIÈRE,REMPLACER - RÉFLECTEUR,REMPLACER - PNEU ARRIÈRE
234,REMPLACER - POMPE À ESSENCE
235,AJUSTER - ESSUIE-GLACE
236,NETTOYER / LAVER - ESSUIE-GLACE
237,AJUSTER - ESSUIE-GLACE
238,AJUSTER - ESSUIE-GLACE
239,RECHERCHER PANNE (DIAGNOSTIQUE) - SYSTÈME DE KLAXON
240,AJUSTER - VÉRIN HYDRAULIQUE DU TAILGATE
241,AJUSTER - CAPTEUR AIR BAG,PURGER - INJECTEUR,AJUSTER - CAPTEUR AIR BAG
242,ESSAI  ROUTIER - VÉRIN HYDRAULIQUE DU TAILGATE
243,RÉPARER - CONTRÔLE
244,REMPLACER - BOYAUX
245,SOUDER - ATTELAGE REMORQUE
246,PEINTURER - CARROSSERIE GÉNÉRALE
247,RÉPARER - FILAGE ÉLECTRIQUE
248,REMPLACER - PLAQUETTES AVANT,REMPLACER - DISQUES AVANT
249,LUBRIFIER/GRAISSER - COURROIE MOTEUR
250,REMPLACER - BEARING AVANT
251,RÉPARER - FIXATION
252,NETTOYER / LAVER - MOTEUR DE CHAUFFERETTE,AJUSTER - MOTEUR DE CHAUFFERETTE
253,AJUSTER - SUPPORT,RÉPARER - GYROPHARE,REMPLACER - SEAL DE PIGNON,AJUSTER - AILE,INSTALLER - RÉFLECTEUR,REMPLACER - FLEXIBLE,REMPLACER - ÉVAPORATEUR
254,REMPLACER - TUYAUTERIE,VÉRIFIER - CONVERTISSEUR DE COURANT
255,INSPECTER VISUELLEMENT - PNEU AVANT
256,MODIFIER - CARROSSERIE GÉNÉRALE
257,REMPLACER - MIROIR
258,REMPLACER - RÉSISTANCE DE CHAUFFERETTE
259,AJUSTER - PORTE
260,RECHERCHER PANNE (DIAGNOSTIQUE) - CLIGNOTANT
261,RÉPARER - SOUPAPE
262,REMPLACER - POMPE À ESSENCE
263,REMPLACER - BOYAUX,REMPLACER - VALVE DE COMPENSATION
264,LUBRIFIER/GRAISSER - CÂBLES DE FREINS À MAINS
265,VÉRIFIER - HUILE DE TRANSMISSION
266,VÉRIFIER - ALTERNATEUR
267,RÉPARER - BOUCHE D'AÉRATION (TRAP),REPOSITIONNER - BOYAUX À AIR,AJUSTER - RÉSERVOIR,REMPLACER - AIR DRYER,REPOSITIONNER - RÉFLECTEUR
268,RECHERCHER PANNE (DIAGNOSTIQUE) - BATTERIE AUXILIAIRE
269,AJUSTER - JET DE LAVE-VITRE,RÉPARER - PORTE
270,RÉPARER - MOTEUR DE CHAUFFERETTE,RECHERCHER PANNE (DIAGNOSTIQUE) - CONVERTISSEUR DE COURANT
271,REMPLACER - CAPTEUR TPMS
272,IDENTIFIER - SYSTÈME DE BARRURE DE PORTE
273,REMPLACER - COURROIE MOTEUR
274,VÉRIFIER - LUMIÈRE DE TABLEAU DE BORD,VÉRIFIER - UNITÉ COMPLÈTE
275,RÉPARER - AIR DRYER
276,RÉPARER - CARROSSERIE GÉNÉRALE
277,RÉPARER - CARROSSERIE GÉNÉRALE
278,RECHERCHER PANNE (DIAGNOSTIQUE) - COMPRESSEUR
279,VÉRIFIER - JAUGE DE TEMPÉRATURE
280,REMPLACER - CARROSSERIE GÉNÉRALE
281,INSTALLER - CARROSSERIE GÉNÉRALE
282,REPOSITIONNER - RADIO COM
283,LUBRIFIER/GRAISSER - MARCHE PIED ARRIÈRE
284,SOUDER - TUYAUTERIE
285,RÉPARER - COFFRE
286,REMPLACER - BATTERIE DU VÉHICULE,SURVOLTER - BATTERIE DU VÉHICULE,REMPLACER - GOUPILLE (PIN),RÉPARER - FILAGE ÉLECTRIQUE
287,RECHERCHER PANNE (DIAGNOSTIQUE) - CONTRÔLE
288,VÉRIFIER - BOYAUX À AIR,REMPLACER - VALVE DE COMPENSATION,REMPLACER - BOYAUX À AIR,REMPLACER - QUICK RELEASE VALVE
289,REMPLACER - TUBE DIPSTICK
290,SOUDER - PORTE
291,REMPLACER - LUMIÈRE DE SCÈNE,REMPLACER - INTERRUPTEUR,AJUSTER - BEARING ARRIÈRE,INSTALLER - VALVE TPMS,AJUSTER - AILE,MODIFIER - AILE,REPOSITIONNER - BOYAUX À AIR,PURGER - COLLET,REPOSITIONNER - COLLET
292,VÉRIFIER - BRÛLEUR,REMPLACER - TRIM,REMPLACER - BATTERIE AUXILIAIRE,REMPLACER - VALVE MODULATEUR,VÉRIFIER - CONNECTEUR (SOCKET) (DE LUMIÈRE)
293,REMPLACER - SEAL DE PIGNON
294,POLIR - CARROSSERIE GÉNÉRALE
295,REMPLACER - CARROSSERIE GÉNÉRALE,REMPLACER - CARROSSERIE GÉNÉRALE
296,REMPLACER - MODULE ABS,REMPLACER - CAP D'ESSIEU
297,REMPLACER - GLISSIÈRE
298,RECHERCHER PANNE (DIAGNOSTIQUE) - FILAGE ÉLECTRIQUE,RÉPARER - FILAGE ÉLECTRIQUE
299,VÉRIFIER - ALTERNATEUR,VÉRIFIER - ALTERNATEUR
300,REMPLACER - DÉMARREUR
301,RÉPARER - TOIT
302,INSTALLER - VALVE TPMS,MODIFIER - AILE,REMPLACER - BOUTON/ CONTRÔLE,AJUSTER - VOLANT,AJUSTER - BATTERIE DU VÉHICULE,REMPLACER - AXE DE FUSÉE (KING PIN),REMPLACER - MODULE ABS
303,REMPLACER - MODULE ABS
304,MODIFIER - ARRIMAGE
305,REMPLACER - TOIT
306,RECHERCHER PANNE (DIAGNOSTIQUE) - SYSTÈME EVAP,REMPLACER - SYSTÈME EVAP
307,FABRIQUER - CARROSSERIE GÉNÉRALE
308,VÉRIFIER - VENTILATEUR DE CHAUFFERETTE
309,RÉPARER - CONVERTISSEUR DE COURANT
310,RÉPARER - COFFRE,PEINTURER - CARROSSERIE GÉNÉRALE
311,FABRIQUER - PLAFONNIER
312,RÉPARER - RÉFLECTEUR
313,REMPLACER - CAPTEUR D'OXYGÈNE,REMPLACER - PÉDALE,LUBRIFIER/GRAISSER - PORTE
314,RECHERCHER PANNE (DIAGNOSTIQUE) - UNITÉ COMPLÈTE
315,REMPLACER - FEUX DE POSITION
316,NETTOYER / LAVER - CULASSE,AJUSTER - RÉSERVOIR
317,REMPLACER - PNEU ARRIÈRE
318,REMPLACER - FLÈCHE SIGNALÉTIQUE
319,RÉPARER - COFFRE
320,REMPLACER - SYSTÈME EVAP,RECHERCHER PANNE (DIAGNOSTIQUE) - SYSTÈME EVAP
321,RÉPARER - FILAGE ÉLECTRIQUE,RÉPARER - FILAGE ÉLECTRIQUE
322,REMPLACER - POMPE À ESSENCE
323,RÉPARER - PARECHOC
324,REMPLACER - DÔME
325,REMPLACER - MOTEUR DE CHAUFFERETTE
326,RÉPARER - TUYAUX À ESSENCE
327,RÉPARER - ALTERNATEUR
328,VÉRIFIER - TUYAUTERIE,AJUSTER - COLLET
329,RÉPARER - TUYAUTERIE
330,REMPLACER - CARROSSERIE GÉNÉRALE
331,VÉRIFIER - FIXATION
332,REMPLACER - CARROSSERIE GÉNÉRALE
333,REMPLACER - AVERTISSEUR DE RECUL (BACKUP ALARM)
334,REMPLACER - AVERTISSEUR DE RECUL (BACKUP ALARM)
335,INSTALLER - RADIO COM
336,INSTALLER - RADIO COM
337,RÉPARER - CARROSSERIE GÉNÉRALE
338,REMPLACER - TUYAUX À ESSENCE
339,REMPLACER - RELAIS
340,REMPLACER - DÉMARREUR
341,AJUSTER - ESSUIE-GLACE,REMPLACER - ATTELAGE REMORQUE,REMPLACER - RÉFLECTEUR,AJUSTER - BATTERIE DU VÉHICULE
342,REMPLACER - PRISE THREEWAY,VÉRIFIER - CONNECTEUR (SOCKET)
343,INSTALLER - COFFRE
344,RÉPARER - BOULONNERIE
345,REMPLACER - PHARE AVANT (BOÎTIER)
346,INSTALLER - CARROSSERIE GÉNÉRALE
347,PEINTURER - CARROSSERIE GÉNÉRALE
348,INSTALLER - CAMÉRA DE RECUL
349,RECHERCHER PANNE (DIAGNOSTIQUE) - ALTERNATEUR
350,RÉPARER - SYSTÈME DE BARRURE DE PORTE
351,SURVOLTER - BATTERIE DU VÉHICULE,NETTOYER / LAVER - COSSE DE BATTERIE,VÉRIFIER - ALTERNATEUR
352,RÉPARER - ALTERNATEUR
353,ESTIMER - CARROSSERIE GÉNÉRALE,REMPLACER - CARROSSERIE GÉNÉRALE
354,REMPLACER - PNEU ARRIÈRE
355,REMPLACER - BOULONNERIE
356,RÉPARER - POMPE À INJECTION
357,RECHERCHER PANNE (DIAGNOSTIQUE) - THERMOSTAT
358,REMPLACER - CARROSSERIE GÉNÉRALE
359,REMPLACER - RÉFLECTEUR,RECHERCHER PANNE (DIAGNOSTIQUE) - CAME EN S (S-CAM)
360,INSTALLER - SUPPORT
361,REMPLACER - RÉCEPTEUR (BOOSTER)
362,REMPLACER - BOÎTIER DE DIRECTION (STEERING BOX)
363,REMPLACER - POIGNÉE
364,RÉPARER - POMPE À INJECTION
365,REMPLACER - CLIGNOTANT
366,RÉPARER - MARCHE PIED
367,NETTOYER / LAVER - FEUX DE POSITION,REMPLACER - EXTINCTEUR (SUPPORT)
368,VÉRIFIER - BATTERIE AUXILIAIRE
369,PROTÉGER(ANTIROUILLE) - BOYAUX,REMPLACER - AIR DRYER
370,REMPLACER - LOQUET
371,REMPLACER - POIGNÉE
372,REMPLACER - BATTERIE AUXILIAIRE
373,ESTIMER - CARROSSERIE GÉNÉRALE
374,REMPLACER - PLAQUETTES ARRIÈRE
375,REMPLACER - JAUGE À ESSENCE
376,REMPLACER - CARROSSERIE GÉNÉRALE
377,RÉPARER - ALTERNATEUR
378,RÉPARER - MARCHE PIED
379,REMPLACER - BATTERIE DU VÉHICULE
380,MODIFIER - TIROIR
381,REMPLACER - VITRE
382,RECHERCHER PANNE (DIAGNOSTIQUE) - CONTRÔLE
383,REMPLACER - PLAQUETTES ARRIÈRE
384,REMPLACER - PLAQUETTES ARRIÈRE
385,VÉRIFIER - THROTTLE BODY
386,REPROGRAMMER - SERRURE
387,RÉPARER - CARROSSERIE GÉNÉRALE
388,REMPLACER - PLAQUETTES AVANT
389,RÉPARER - CAMÉRA DE RECUL
390,REMPLACER - CONNECTEUR (SOCKET)
391,REMPLACER - LEVIER DE VITESSE
392,REMPLACER - PNEU ARRIÈRE
393,REMPLACER - SYSTÈME DE VENTILATEUR (MOTEUR)
394,INSTALLER - PNEU ARRIÈRE
395,MODIFIER - CARROSSERIE GÉNÉRALE
396,REMPLACER - RESSORT HÉLICOÏDAL (COIL SPRING)
397,MODIFIER - BREAKER
398,MODIFIER - FUSIBLE
399,MODIFIER - FUSIBLE
400,MODIFIER - FUSIBLE
401,MODIFIER - FUSIBLE
402,MODIFIER - FUSIBLE
403,MODIFIER - FUSIBLE
404,MODIFIER - FUSIBLE
405,MODIFIER - FUSIBLE
406,MODIFIER - FUSIBLE
407,MODIFIER - FUSIBLE
408,MODIFIER - FUSIBLE
409,MODIFIER - FUSIBLE
410,MODIFIER - FUSIBLE
411,MODIFIER - FUSIBLE
412,MODIFIER - FUSIBLE
413,MODIFIER - FUSIBLE
414,MODIFIER - FUSIBLE
415,MODIFIER - FUSIBLE
416,MODIFIER - FUSIBLE
417,MODIFIER - FUSIBLE
418,INSTALLER - SUPPORT,LUBRIFIER/GRAISSER - ATTELAGE REMORQUE,RECHERCHER PANNE (DIAGNOSTIQUE) - COFFRE,INSTALLER - COFFRE
419,RECHERCHER PANNE (DIAGNOSTIQUE) - ADAPTATEUR
420,RECHERCHER PANNE (DIAGNOSTIQUE) - BOYAUX
421,REPOSITIONNER - GARDE-BOUE
422,REMPLACER - LUMIÈRE DE LICENSE
423,RECHERCHER PANNE (DIAGNOSTIQUE) - VENTILATEUR
424,REMPLACER - GYROPHARE,RÉPARER - CÂBLES ÉLECTRIQUE
425,RECHERCHER PANNE (DIAGNOSTIQUE) - SILENCIEUX
426,REMPLACER - CLIGNOTANT
427,LUBRIFIER/GRAISSER - POIGNÉE,REMPLACER - AIR DRYER,AJUSTER - MARCHE PIED,RECHERCHER PANNE (DIAGNOSTIQUE) - ÉCRAN DIGITAL (LCD)
428,RÉPARER - RÉSISTANCE
429,REMPLACER - LUMIÈRE DE JOUR (DAY RUNNING LIGHT)
430,ESTIMER - CARROSSERIE GÉNÉRALE
431,REMPLACER - PORTE
432,RÉPARER - SYSTÈME D'ESSUIE-GLACE
433,REMPLACER - PARE-BRISE
434,RECHERCHER PANNE (DIAGNOSTIQUE) - RÉSERVOIR À AIR
435,RECHERCHER PANNE (DIAGNOSTIQUE) - AVERTISSEUR DE RECUL (BACKUP ALARM),REMPLACER - AVERTISSEUR DE RECUL (BACKUP ALARM)
436,REMPLACER - CLIGNOTANT
437,REMPLACER - VENTILATEUR DU MOTEUR
438,RÉPARER - FUSIBLE
439,REMPLACER - VÉRIN HYDRAULIQUE DU TAILGATE,REMPLACER - VÉRIN HYDRAULIQUE DU TAILGATE
440,REMPLACER - CHARGEUR
441,REMPLACER - BEARING AVANT
442,REMPLACER - COUSSINET DE BARRE STABILISATRICE
